1;jeu_1_nb_cles_100,txt;0;;;
2;jeu_1_nb_cles_1000,txt;0;;;
3;jeu_1_nb_cles_10000,txt;15,6290531158;;;
4;jeu_1_nb_cles_200,txt;0;;;
5;jeu_1_nb_cles_20000,txt;31,2507152557;;;
6;jeu_1_nb_cles_500,txt;0;;;moy tps
7;jeu_1_nb_cles_5000,txt;15,6280994415;;100;0
8;jeu_1_nb_cles_50000,txt;62,5267028809;;1000;0
9;jeu_2_nb_cles_100,txt;0;;10000;12,5019073486
10;jeu_2_nb_cles_1000,txt;0;;200;0
11;jeu_2_nb_cles_10000,txt;15,6266689301;;20000;28,1224727631
12;jeu_2_nb_cles_200,txt;0;;500;0
13;jeu_2_nb_cles_20000,txt;31,2440395355;;5000;12,5089645386
14;jeu_2_nb_cles_500,txt;0;;50000;59,3746185303
15;jeu_2_nb_cles_5000,txt;15,6283378601;;;
16;jeu_2_nb_cles_50000,txt;46,8800067902;;;
17;jeu_3_nb_cles_100,txt;0;;;
18;jeu_3_nb_cles_1000,txt;0;;;
19;jeu_3_nb_cles_10000,txt;15,6264305115;;;
20;jeu_3_nb_cles_200,txt;0;;;
21;jeu_3_nb_cles_20000,txt;15,6347751617;;;
22;jeu_3_nb_cles_500,txt;0;;;
23;jeu_3_nb_cles_5000,txt;15,6257152557;;;
24;jeu_3_nb_cles_50000,txt;62,4504089355;;;
25;jeu_4_nb_cles_100,txt;0;;;
26;jeu_4_nb_cles_1000,txt;0;;;
27;jeu_4_nb_cles_10000,txt;0;;;
28;jeu_4_nb_cles_200,txt;0;;;
29;jeu_4_nb_cles_20000,txt;31,2597751617;;;
30;jeu_4_nb_cles_500,txt;0;;;
31;jeu_4_nb_cles_5000,txt;0;;;
32;jeu_4_nb_cles_50000,txt;62,5069141388;;;
33;jeu_5_nb_cles_100,txt;0;;;
34;jeu_5_nb_cles_1000,txt;0;;;
35;jeu_5_nb_cles_10000,txt;15,6273841858;;;
36;jeu_5_nb_cles_200,txt;0;;;
37;jeu_5_nb_cles_20000,txt;31,2230587006;;;
38;jeu_5_nb_cles_500,txt;0;;;
39;jeu_5_nb_cles_5000,txt;15,6626701355;;;
40;jeu_5_nb_cles_50000,txt;62,509059906;;;
-1;total du temps en milliseconde pour tout les fichiers : ;562,5398159027;;;
